analog_reading,muscle_state
464,1
155,0
104,0
113,0
134,0
410,1
77,0
685,1
659,1
88,0
89,0
681,1
490,1
464,1
101,0
603,1
89,0
682,1
674,1
567,1
400,1
92,0
110,0
442,1
99,0
754,1
97,0
466,1
647,1
618,1
135,0
98,0
36,0
96,0
422,1
74,0
583,1
129,0
97,0
768,1
756,1
130,0
645,1
98,0
638,1
75,0
125,0
101,0
97,0
133,0
103,0
612,1
134,0
818,1
65,0
591,1
94,0
704,1
84,0
99,0
77,0
716,1
478,1
110,0
118,0
497,1
104,0
535,1
464,1
125,0
590,1
83,0
120,0
80,0
108,0
513,1
109,0
486,1
690,1
148,0
570,1
109,0
579,1
95,0
810,1
115,0
49,0
74,0
702,1
752,1
526,1
455,1
603,1
86,0
107,0
96,0
689,1
660,1
417,1
672,1
87,0
681,1
93,0
609,1
696,1
123,0
110,0
458,1
447,1
134,0
695,1
514,1
117,0
108,0
676,1
104,0
670,1
92,0
89,0
96,0
507,1
77,0
557,1
657,1
90,0
74,0
92,0
89,0
432,1
101,0
440,1
127,0
113,0
645,1
737,1
719,1
82,0
600,1
117,0
653,1
101,0
705,1
836,1
109,0
564,1
521,1
533,1
111,0
111,0
89,0
706,1
695,1
110,0
608,1
758,1
547,1
711,1
101,0
630,1
108,0
89,0
80,0
536,1
104,0
74,0
110,0
657,1
598,1
714,1
69,0
101,0
697,1
514,1
590,1
139,0
90,0
126,0
563,1
89,0
594,1
626,1
103,0
781,1
132,0
768,1
558,1
65,0
630,1
124,0
103,0
573,1
134,0
104,0
121,0
275,1
122,0
111,0
95,0
99,0
80,0
669,1
580,1
83,0
113,0
653,1
83,0
749,1
109,0
576,1
77,0
69,0
741,1
598,1
644,1
659,1
760,1
605,1
701,1
886,1
132,0
628,1
712,1
679,1
118,0
458,1
124,0
360,1
619,1
141,0
645,1
110,0
110,0
480,1
598,1
105,0
607,1
85,0
90,0
814,1
682,1
572,1
124,0
112,0
107,0
100,0
94,0
424,1
81,0
105,0
111,0
717,1
104,0
702,1
517,1
63,0
488,1
101,0
650,1
78,0
89,0
150,0
462,1
532,1
101,0
84,0
568,1
552,1
96,0
83,0
57,0
115,0
